run_id,case,policy,electric,edge,from,to,t,u_E,a_E,P_MW,u_H,a_H,direction,H_in_MW,heat_loss_MW
import--heat--exact,import,heat,exact,3,1,3,4,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--joint--socp,import,joint,socp,1,1,2,1,1.0,0.0,0.31570187650439047,1.0,0.0,1.0,0.03526665543782808,0.001800000000000003
import--joint--socp,import,joint,socp,1,1,2,2,1.0,0.0,0.1666290668555696,1.0,0.0,1.0,0.09526792477046614,0.001799999999999996
import--joint--socp,import,joint,socp,1,1,2,3,1.0,0.0,0.11533632908760806,1.0,0.0,1.0,0.03693357949875493,0.001800000000000003
import--joint--socp,import,joint,socp,1,1,2,4,1.0,0.0,0.27567688380207306,1.0,0.0,1.0,0.03526662365354838,0.001800000000000003
import--joint--socp,import,joint,socp,2,2,3,1,1.0,0.0,0.11709247237191261,1.0,0.0,1.0,0.03346665471120963,0.001800000000000003
import--joint--socp,import,joint,socp,2,2,3,2,1.0,0.0,0.1662138176836157,1.0,0.0,1.0,0.09346791831376497,0.001799999999999996
import--joint--socp,import,joint,socp,2,2,3,3,1.0,0.0,0.11510896600518787,1.0,0.0,1.0,0.035133578848543214,0.001800000000000003
import--joint--socp,import,joint,socp,2,2,3,4,1.0,0.0,0.11709918291144511,1.0,0.0,1.0,0.03346662293595956,0.001800000000000003
import--joint--socp,import,joint,socp,3,1,3,1,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--joint--socp,import,joint,socp,3,1,3,2,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--joint--socp,import,joint,socp,3,1,3,3,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--joint--socp,import,joint,socp,3,1,3,4,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--joint--exact,import,joint,exact,1,1,2,1,1.0,0.0,0.315698919307043,1.0,0.0,1.0,0.03526666685053987,0.001800000000000003
import--joint--exact,import,joint,exact,1,1,2,2,1.0,0.0,0.16662910046449347,1.0,0.0,1.0,0.09526666668429476,0.001799999999999996
import--joint--exact,import,joint,exact,1,1,2,3,1.0,-0.0,0.11533624242102368,1.0,0.0,1.0,0.03693333325673224,0.001800000000000003
import--joint--exact,import,joint,exact,1,1,2,4,1.0,-0.0,0.2756775216543404,1.0,0.0,1.0,0.035266666885346944,0.001800000000000003
import--joint--exact,import,joint,exact,2,2,3,1,1.0,0.0,0.11709220348917398,1.0,0.0,1.0,0.033466666850541095,0.001800000000000003
import--joint--exact,import,joint,exact,2,2,3,2,1.0,0.0,0.16621385211249806,1.0,0.0,1.0,0.09346666646880405,0.001799999999999996
import--joint--exact,import,joint,exact,2,2,3,3,1.0,-0.0,0.11510888039443624,1.0,0.0,1.0,0.0351333332567323,0.001799999923398965
import--joint--exact,import,joint,exact,2,2,3,4,1.0,-0.0,0.11709862086343703,1.0,0.0,1.0,0.033466666860576345,0.001800000000000003
import--joint--exact,import,joint,exact,3,1,3,1,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--joint--exact,import,joint,exact,3,1,3,2,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--joint--exact,import,joint,exact,3,1,3,3,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--joint--exact,import,joint,exact,3,1,3,4,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
electric_bottleneck--fixed--socp,electric_bottleneck,fixed,socp,1,1,2,1,1.0,0.0,0.29999998032468067,1.0,0.0,1.0,0.0352666433096908,0.001800000000000003
electric_bottleneck--fixed--socp,electric_bottleneck,fixed,socp,1,1,2,2,1.0,0.0,0.1666282639408186,1.0,0.0,1.0,0.1089430026190443,0.001799999999999996
electric_bottleneck--fixed--socp,electric_bottleneck,fixed,socp,1,1,2,3,1.0,0.0,0.11533631822345228,1.0,0.0,1.0,0.036933481462523,0.001800000000000003
electric_bottleneck--fixed--socp,electric_bottleneck,fixed,socp,1,1,2,4,1.0,0.0,0.2809690410930232,1.0,0.0,1.0,0.03526646071845104,0.001800000000000003
electric_bottleneck--fixed--socp,electric_bottleneck,fixed,socp,2,2,3,1,1.0,0.0,0.1151320597671028,1.0,0.0,1.0,0.033466633344553125,0.001800000000000003
electric_bottleneck--fixed--socp,electric_bottleneck,fixed,socp,2,2,3,2,1.0,0.0,0.16621392184823292,1.0,0.0,1.0,0.09346745973917678,0.001799999999999996
electric_bottleneck--fixed--socp,electric_bottleneck,fixed,socp,2,2,3,3,1.0,0.0,0.1151089494479113,1.0,0.0,1.0,0.03513347669167032,0.001800000000000003
electric_bottleneck--fixed--socp,electric_bottleneck,fixed,socp,2,2,3,4,1.0,0.0,0.1170982492392486,1.0,0.0,1.0,0.033466451919173607,0.001800000000000003
electric_bottleneck--fixed--socp,electric_bottleneck,fixed,socp,3,1,3,1,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
electric_bottleneck--fixed--socp,electric_bottleneck,fixed,socp,3,1,3,2,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
