stage,name,equation,scope,entity,t,residual,unit,tolerance,pass
1,initialization,3-56:57,model,S2,3,0.0,K,0.0001,true
1,initialization,3-55-binary,model,S2/2,3,0.0,1,1.0e-6,true
1,initialization,3-53:54,model,S2,3,0.0,kg/s,4.0e-6,true
1,initialization,3-56:57,model,S2,3,0.0,K,0.0001,true
1,initialization,3-35:36,physics,S2,4,5.053354063507641,K,0.0001,false
1,initialization,mix-original,physics,S2,4,5.053354063507641,K,0.0001,false
1,initialization,3-55,model,S2,4,0.0,1,1.0e-6,true
1,initialization,3-55-binary,model,S2/1,4,3.114108756419043e-7,1,1.0e-6,true
1,initialization,3-53:54,model,S2,4,0.0,kg/s,4.0e-6,true
1,initialization,3-56:57,model,S2,4,3.38031222107124e-8,K,0.0001,true
1,initialization,3-55-binary,model,S2/2,4,3.114108756419043e-7,1,1.0e-6,true
1,initialization,3-53:54,model,S2,4,2.144339152531762e-7,kg/s,4.0e-6,true
1,initialization,3-56:57,model,S2,4,5.314559846711656e-6,K,0.0001,true
1,initialization,3-35:36,model,S3,1,5.684341886080802e-14,K,0.0001,true
1,initialization,mix-original,physics,S3,1,5.684341886080802e-14,K,0.0001,true
1,initialization,3-35:36,model,S3,2,5.684341886080802e-14,K,0.0001,true
1,initialization,mix-original,physics,S3,2,5.684341886080802e-14,K,0.0001,true
1,initialization,3-35:36,model,S3,3,0.0,K,0.0001,true
1,initialization,mix-original,physics,S3,3,0.0,K,0.0001,true
1,initialization,3-35:36,model,S3,4,0.0,K,0.0001,true
1,initialization,mix-original,physics,S3,4,0.0,K,0.0001,true
1,initialization,3-35:36,model,R1,1,0.0,K,0.0001,true
1,initialization,mix-original,physics,R1,1,0.0,K,0.0001,true
1,initialization,3-35:36,model,R1,2,0.0,K,0.0001,true
1,initialization,mix-original,physics,R1,2,0.0,K,0.0001,true
1,initialization,3-35:36,model,R1,3,0.0,K,0.0001,true
1,initialization,mix-original,physics,R1,3,0.0,K,0.0001,true
1,initialization,3-35:36,model,R1,4,0.0,K,0.0001,true
1,initialization,mix-original,physics,R1,4,0.0,K,0.0001,true
1,initialization,3-35:36,model,R2,1,0.0,K,0.0001,true
1,initialization,mix-original,physics,R2,1,0.0,K,0.0001,true
1,initialization,3-35:36,model,R2,2,0.0,K,0.0001,true
