equation,scope,entity,t,residual,unit,tolerance,pass
3-25,physics,S1,3,0.23013548551127253,normalized,1.0e-6,false
WMM-replay,physics,S1,3,0.45218820421052897,K,0.0001,false
3-52,model,S1,3,3.2081004519568525e-16,MW,3.0e-6,true
3-52-unrelaxed,physics,S1,3,3.2081004519568525e-16,MW,3.0e-6,true
3-39:40,model,S1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-23-kappa,model,1,4,0.0,kPa,0.001,true
3-22,model,S1,4,5.684341886080802e-17,normalized,1.0e-6,true
3-26,model,S1,4,0.0,normalized,1.0e-6,true
3-25,physics,S1,4,0.23013548551127253,normalized,1.0e-6,false
WMM-replay,physics,S1,4,1.512560631721044,K,0.0001,false
3-52,model,S1,4,2.014388655879884e-16,MW,3.0e-6,true
3-52-unrelaxed,physics,S1,4,2.014388655879884e-16,MW,3.0e-6,true
3-39:40,model,R1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-23-kappa,model,1,1,0.0,kPa,0.001,true
3-22,model,R1,1,0.0,normalized,1.0e-6,true
3-26,model,R1,1,0.0,normalized,1.0e-6,true
3-25,physics,R1,1,0.23013548551122162,normalized,1.0e-6,false
WMM-replay,physics,R1,1,0.00952116017924709,K,0.0001,false
3-52,model,R1,1,9.209299989265674e-17,MW,3.0e-6,true
3-52-unrelaxed,physics,R1,1,9.209299989265674e-17,MW,3.0e-6,true
3-39:40,model,R1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-23-kappa,model,1,2,0.0,kPa,0.001,true
3-22,model,R1,2,0.0,normalized,1.0e-6,true
3-26,model,R1,2,0.0,normalized,1.0e-6,true
3-25,physics,R1,2,0.23013548551122162,normalized,1.0e-6,false
WMM-replay,physics,R1,2,0.005418948252724931,K,0.0001,false
3-52,model,R1,2,9.209299989265674e-17,MW,3.0e-6,true
3-52-unrelaxed,physics,R1,2,9.209299989265674e-17,MW,3.0e-6,true
3-39:40,model,R1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-23-kappa,model,1,3,0.0,kPa,0.001,true
3-22,model,R1,3,0.0,normalized,1.0e-6,true
3-26,model,R1,3,0.0,normalized,1.0e-6,true
3-25,physics,R1,3,0.23013548551122162,normalized,1.0e-6,false
WMM-replay,physics,R1,3,8.593147026658698e-5,K,0.0001,true
3-52,model,R1,3,2.7278179715040096e-17,MW,3.0e-6,true
3-52-unrelaxed,physics,R1,3,2.7278179715040096e-17,MW,3.0e-6,true
3-39:40,model,R1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-23-kappa,model,1,4,0.0,kPa,0.001,true
3-22,model,R1,4,0.0,normalized,1.0e-6,true
3-26,model,R1,4,0.0,normalized,1.0e-6,true
3-25,physics,R1,4,0.23013548551122162,normalized,1.0e-6,false
WMM-replay,physics,R1,4,0.001188331065065995,K,0.0001,false
3-52,model,R1,4,2.7278179715040096e-17,MW,3.0e-6,true
3-52-unrelaxed,physics,R1,4,2.7278179715040096e-17,MW,3.0e-6,true
3-23,model,2,1,0.0,kg/s,4.0e-6,true
R2-fixed-flow,model,2,1,0.0,kg/s,4.0e-6,true
3-23,model,2,2,0.0,kg/s,4.0e-6,true
R2-fixed-flow,model,2,2,0.0,kg/s,4.0e-6,true
3-23,model,2,3,0.0,kg/s,4.0e-6,true
R2-fixed-flow,model,2,3,0.0,kg/s,4.0e-6,true
3-23,model,2,4,0.0,kg/s,4.0e-6,true
R2-fixed-flow,model,2,4,0.0,kg/s,4.0e-6,true
3-39:40,model,S2,1,0.0,K,0.0001,true
3-41,model,2,1,0.0,K,0.0001,true
3-41,model,2,1,0.0,K,0.0001,true
3-23-kappa,model,2,1,0.0,kPa,0.001,true
3-22,model,S2,1,0.0,normalized,1.0e-6,true
3-26,model,S2,1,0.0,normalized,1.0e-6,true
3-25,physics,S2,1,0.2296129387439081,normalized,1.0e-6,false
WMM-replay,physics,S2,1,0.16098214676316047,K,0.0001,false
3-52,model,S2,1,1.5760726057578722e-16,MW,3.0e-6,true
3-52-unrelaxed,physics,S2,1,1.5760726057578722e-16,MW,3.0e-6,true
3-39:40,model,S2,2,0.0,K,0.0001,true
3-41,model,2,2,0.0,K,0.0001,true
3-41,model,2,2,0.0,K,0.0001,true
3-23-kappa,model,2,2,0.0,kPa,0.001,true
3-22,model,S2,2,0.0,normalized,1.0e-6,true
3-26,model,S2,2,0.0,normalized,1.0e-6,true
3-25,physics,S2,2,0.2296129387439081,normalized,1.0e-6,false
WMM-replay,physics,S2,2,0.24081348264536473,K,0.0001,false
3-52,model,S2,2,3.730349362740526e-17,MW,3.0e-6,true
3-52-unrelaxed,physics,S2,2,3.730349362740526e-17,MW,3.0e-6,true
3-39:40,model,S2,3,0.0,K,0.0001,true
3-41,model,2,3,0.0,K,0.0001,true
3-41,model,2,3,0.0,K,0.0001,true
3-23-kappa,model,2,3,0.0,kPa,0.001,true
3-22,model,S2,3,0.0,normalized,1.0e-6,true
3-26,model,S2,3,0.0,normalized,1.0e-6,true
3-25,physics,S2,3,0.2296129387439081,normalized,1.0e-6,false
WMM-replay,physics,S2,3,0.032901220820804156,K,0.0001,false
3-52,model,S2,3,2.7604585284279894e-16,MW,3.0e-6,true
3-52-unrelaxed,physics,S2,3,2.7604585284279894e-16,MW,3.0e-6,true
3-39:40,model,S2,4,0.0,K,0.0001,true
3-41,model,2,4,0.0,K,0.0001,true
3-41,model,2,4,0.0,K,0.0001,true
3-23-kappa,model,2,4,0.0,kPa,0.001,true
3-22,model,S2,4,0.0,normalized,1.0e-6,true
3-26,model,S2,4,0.0,normalized,1.0e-6,true
3-25,physics,S2,4,0.2296129387439081,normalized,1.0e-6,false
