record_id,run_id,id,group,entity,t,residual,unit,tolerance,normalized,pass
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,PCC-bound,electric,PCC,3,0.0,MW,0.000101,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,QCC-bound,electric,PCC,3,0.0,Mvar,0.000101,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-9-P,electric,EB,3,0.0,MW,0.000101,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-9-Q,electric,EB,3,5.31138679520272e-19,Mvar,0.000101,5.258798807131406e-15,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-9-P,electric,GT,3,0.0,MW,0.000101,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-9-Q,electric,GT,3,5.31138679520272e-19,Mvar,0.000101,5.258798807131406e-15,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-10,electric,GT,3,0.0,MW,0.000101,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-14,electric,1,3,3.197442310920451e-14,MW,0.000101,3.165784466257872e-10,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-15,electric,1,3,0.0,Mvar,0.000101,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-17,electric,1,3,0.0,pu,1.0e-6,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-14,electric,2,3,1.7770884256029115e-14,MW,0.000101,1.759493490695952e-10,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-15,electric,2,3,1.734723475976807e-17,Mvar,0.000101,1.7175479960166406e-13,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-17,electric,2,3,0.0,pu,1.0e-6,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,root-voltage,electric,1,3,0.0,pu,1.0e-6,0.0,true
