run_id,case,method,pattern,equation,scope,entity,t,residual,tolerance,unit,pass
open_flexible--distributed,open_flexible,distributed,10,port_mass,heat,2,1,0.0,1.1e-5,kg/s,true
open_flexible--distributed,open_flexible,distributed,10,port_heat,heat,2,1,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,port_mass,heat,2,1,0.0,1.1e-5,kg/s,true
open_flexible--distributed,open_flexible,distributed,10,port_heat,heat,2,1,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,voltage,model,3,1,0.0,1.0e-6,pu²,true
open_flexible--distributed,open_flexible,distributed,10,electric_balance,model,3,1,4.801144040667005e-8,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,reactive_balance,model,3,1,2.3295053386274134e-11,3.0e-6,Mvar,true
open_flexible--distributed,open_flexible,distributed,10,mass_balance,heat,3,1,6.661338147750939e-16,1.1e-5,kg/s,true
open_flexible--distributed,open_flexible,distributed,10,heat_balance,heat,3,1,2.1880186051870254e-8,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,port_mass,heat,3,1,0.0,1.1e-5,kg/s,true
open_flexible--distributed,open_flexible,distributed,10,port_heat,heat,3,1,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,port_mass,heat,3,1,0.0,1.1e-5,kg/s,true
open_flexible--distributed,open_flexible,distributed,10,port_heat,heat,3,1,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,R4-P4,heat,1,1,2.556446807716606e-13,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,pipe_heat,heat,1,1,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,pipe_heat,heat,1,1,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,pipe_mass,heat,1,1,0.0,1.1e-5,kg/s,true
open_flexible--distributed,open_flexible,distributed,10,R4-P4,heat,2,1,2.4817387728193196e-14,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,pipe_heat,heat,2,1,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,pipe_heat,heat,2,1,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,pipe_mass,heat,2,1,0.0,1.1e-5,kg/s,true
open_flexible--distributed,open_flexible,distributed,10,grid,model,1,2,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,reactive_grid,model,1,2,0.0,3.0e-6,Mvar,true
open_flexible--distributed,open_flexible,distributed,10,root_voltage,model,1,2,4.440892098500626e-16,1.0e-6,pu²,true
