run_id,case,method,pattern,mode,status,raw_A1,model_A1,electric_original_A1,cost,central_cost,bound,gap,iterations,elapsed_sec
import_fixed--distributed,import_fixed,distributed,12,1101,iteration_limit,false,false,false,213.14281674524068,213.14234335423606,NaN,NaN,1000,13.50599980354309
import_fixed--distributed,import_fixed,distributed,13,0011,consensus_converged,true,true,true,207.69014694661215,207.68966974215218,NaN,NaN,999,13.608000040054321
import_fixed--distributed,import_fixed,distributed,14,1011,consensus_converged,true,true,true,211.6305752530718,211.63015498702305,NaN,NaN,409,5.629000186920166
import_fixed--distributed,import_fixed,distributed,15,0111,consensus_converged,true,true,true,208.08220216607708,208.08148314176282,NaN,NaN,266,3.7840001583099365
import_fixed--distributed,import_fixed,distributed,16,1111,iteration_limit,false,false,false,213.1427986089982,213.14234335340097,NaN,NaN,1000,13.717000007629395
import_fixed--central_enumeration,import_fixed,central_enumeration,1,0000,solver_optimal,true,true,true,213.14234335349806,213.14234335349806,213.14234334269034,5.516689957901732e-11,0,0.01399993896484375
import_fixed--central_enumeration,import_fixed,central_enumeration,2,1000,solver_optimal,true,true,true,213.13837441626515,213.13837441626515,213.138374330966,4.3065298888685244e-10,0,0.011999845504760742
import_fixed--central_enumeration,import_fixed,central_enumeration,3,0100,solver_optimal,true,true,true,213.14234331477707,213.14234331477707,213.14234313843022,8.873205734266528e-10,0,0.012000083923339844
import_fixed--central_enumeration,import_fixed,central_enumeration,4,1100,solver_optimal,true,true,true,213.14234335392212,213.14234335392212,213.14234334721033,3.691501288773764e-11,0,0.013000011444091797
import_fixed--central_enumeration,import_fixed,central_enumeration,5,0010,solver_optimal,true,true,true,207.6896697281536,207.6896697281536,207.68966967016158,3.0238754430148433e-10,0,0.012000083923339844
import_fixed--central_enumeration,import_fixed,central_enumeration,6,1010,solver_optimal,true,true,true,207.69996095420345,207.69996095420345,207.69996094192865,6.361154708484116e-11,0,0.013000011444091797
import_fixed--central_enumeration,import_fixed,central_enumeration,7,0110,solver_optimal,true,true,true,208.08148310855358,208.08148310855358,208.08148296518192,7.37873293019871e-10,0,0.013000011444091797
import_fixed--central_enumeration,import_fixed,central_enumeration,8,1110,solver_optimal,true,true,true,208.0946962160869,208.0946962160869,208.09469620786024,4.255170234526677e-11,0,0.012000083923339844
import_fixed--central_enumeration,import_fixed,central_enumeration,9,0001,solver_optimal,true,true,true,213.13511884675347,213.13511884675347,213.13511881803424,1.453676914660991e-10,0,0.011999845504760742
import_fixed--central_enumeration,import_fixed,central_enumeration,10,1001,solver_optimal,true,true,true,213.13511882155916,213.13511882155916,213.13511869125514,6.563215599280222e-10,0,0.08699989318847656
import_fixed--central_enumeration,import_fixed,central_enumeration,11,0101,solver_optimal,true,true,true,213.14234332112736,213.14234332112736,213.1423431709704,7.557456670536865e-10,0,0.011999845504760742
import_fixed--central_enumeration,import_fixed,central_enumeration,12,1101,solver_optimal,true,true,true,213.14234335423606,213.14234335423606,213.14234334789958,3.402620204231581e-11,0,0.010999917984008789
import_fixed--central_enumeration,import_fixed,central_enumeration,13,0011,solver_optimal,true,true,true,207.68966974215218,207.68966974215218,207.6896697323909,5.020191351994772e-11,0,0.010999917984008789
import_fixed--central_enumeration,import_fixed,central_enumeration,14,1011,solver_optimal,true,true,true,211.63015498702305,211.63015498702305,211.63015497252215,7.341734601529272e-11,0,0.01100015640258789
import_fixed--central_enumeration,import_fixed,central_enumeration,15,0111,solver_optimal,true,true,true,208.08148314176282,208.08148314176282,208.08148300052676,7.28725905773319e-10,0,0.009999990463256836
import_fixed--central_enumeration,import_fixed,central_enumeration,16,1111,solver_optimal,true,true,true,213.14234335340097,213.14234335340097,213.14234334297063,5.324484827154114e-11,0,0.013000011444091797
