run_id,case,method,pattern,actor,t,CHP_MW,PV_MW,HP_MW,EB_MW,charge_MW,discharge_MW,electric_load_MW,heat_load_MW,energy_MWh
import_flexible--central_enumeration,import_flexible,central_enumeration,5,1,2,0.07938889147962577,1.6566427302072258e-12,-4.390976205975784e-13,-1.5104214159110612e-12,-1.0328666413252583e-12,4.509793157500542e-13,-7.56994369804543e-14,1.0773379478955288e-13,8.55965978094466e-13
import_flexible--central_enumeration,import_flexible,central_enumeration,5,1,3,0.030777777718838696,1.5339118000213224e-12,7.732666609651003e-13,-6.931149713253949e-13,-3.7740427127191973e-13,-4.269259350129344e-13,-5.685342121443121e-14,1.0014550780819108e-13,-6.144617849854337e-13
import_flexible--central_enumeration,import_flexible,central_enumeration,5,1,4,0.02938888960350887,1.4248595621503453e-12,9.026911105190509e-13,5.1715341800245094e-11,-9.382371882508545e-14,-6.103201182557783e-13,-4.6443106019286297e-14,9.626393764328867e-14,-5.352295460306501e-13
import_flexible--central_enumeration,import_flexible,central_enumeration,5,2,1,-8.562487618382125e-13,1.4110813080237596e-12,0.03577211561628011,-1.2994697477125061e-12,-6.514837424284133e-13,0.0502021327410675,0.21194590591133367,0.10731634684543408,0.0999999999999864
import_flexible--central_enumeration,import_flexible,central_enumeration,5,2,2,-8.572294500383078e-13,0.27000000000124885,0.043105448858664894,-1.3007151248739143e-12,-6.501352856112337e-13,0.040047866589452676,0.2669424177319446,0.12931634657875127,0.04715564974559782
import_flexible--central_enumeration,import_flexible,central_enumeration,5,2,3,-1.5403540385922034e-12,0.3552738917547356,0.03652778421306268,-3.544167625151504e-13,0.10000000000013436,-1.345124285014753e-12,0.21874610753759383,0.10958335263579523,0.005000000703437114
import_flexible--central_enumeration,import_flexible,central_enumeration,5,2,4,-8.380639525010949e-13,0.09000000000127896,0.03577283704500092,-1.308449807860244e-12,-6.648452161862162e-13,6.691114995577335e-10,0.21195240890824832,0.10731851113165156,0.10000000070497346
import_flexible--central_enumeration,import_flexible,central_enumeration,5,3,1,0.15000000000065003,1.4187712483756008e-12,8.993925401894933e-13,2.6838815537658327e-11,9.067070606510938e-14,-7.452155482190798e-13,0.2669250441617114,0.21166666748470614,-9.046817660119418e-15
import_flexible--central_enumeration,import_flexible,central_enumeration,5,3,2,0.15000000000073296,1.6420290663352515e-12,-4.654639355003901e-13,-1.5124450578405203e-12,-1.0314169752614975e-12,4.525695353062687e-13,0.3158954574114883,0.2716666697657236,8.520048063217004e-13
import_flexible--central_enumeration,import_flexible,central_enumeration,5,3,3,0.15000000000066316,1.5232381548454528e-12,8.035228962460976e-13,-7.050196911331821e-13,-3.743379553537224e-13,-4.315976234125807e-13,0.26494744552631666,0.2133333332679761,-6.180128508726815e-13
