equation,scope,entity,t,residual,unit,tolerance,pass
WMM-replay,physics,R2,24,0.0,K,0.0001,true
3-33:34,model,R2,24,0.0,K,0.0001,true
3-23,model,3,1,0.0,kg/s,2.947222222222222e-5,true
R2-fixed-flow,model,3,1,0.0,kg/s,2.947222222222222e-5,true
3-27,model,3,1,0.0,kg/s,2.947222222222222e-5,true
3-30,model,3,1,0.0,kg/s,2.947222222222222e-5,true
3-32,model,3,1,0.0,1,1.0e-6,true
3-28,model,3,1,0.0,1,1.0e-6,true
3-29:32,model,3,1,0.0,1,1.0e-6,true
3-31,model,3,1,0.0,1,1.0e-6,true
3-29:32,model,3,1,0.0,1,1.0e-6,true
3-23,model,3,2,0.0,kg/s,2.947222222222222e-5,true
R2-fixed-flow,model,3,2,0.0,kg/s,2.947222222222222e-5,true
3-27,model,3,2,0.0,kg/s,2.947222222222222e-5,true
3-30,model,3,2,0.0,kg/s,2.947222222222222e-5,true
3-32,model,3,2,0.0,1,1.0e-6,true
3-28,model,3,2,0.0,1,1.0e-6,true
3-29:32,model,3,2,0.0,1,1.0e-6,true
3-31,model,3,2,0.0,1,1.0e-6,true
3-29:32,model,3,2,0.0,1,1.0e-6,true
3-23,model,3,3,0.0,kg/s,2.947222222222222e-5,true
R2-fixed-flow,model,3,3,0.0,kg/s,2.947222222222222e-5,true
3-27,model,3,3,0.0,kg/s,2.947222222222222e-5,true
3-30,model,3,3,0.0,kg/s,2.947222222222222e-5,true
3-32,model,3,3,0.0,1,1.0e-6,true
3-28,model,3,3,0.0,1,1.0e-6,true
3-29:32,model,3,3,0.0,1,1.0e-6,true
3-31,model,3,3,0.0,1,1.0e-6,true
3-29:32,model,3,3,0.0,1,1.0e-6,true
3-23,model,3,4,0.0,kg/s,2.947222222222222e-5,true
R2-fixed-flow,model,3,4,0.0,kg/s,2.947222222222222e-5,true
3-27,model,3,4,0.0,kg/s,2.947222222222222e-5,true
3-30,model,3,4,0.0,kg/s,2.947222222222222e-5,true
3-32,model,3,4,0.0,1,1.0e-6,true
3-28,model,3,4,0.0,1,1.0e-6,true
3-29:32,model,3,4,0.0,1,1.0e-6,true
3-31,model,3,4,0.0,1,1.0e-6,true
3-29:32,model,3,4,0.0,1,1.0e-6,true
3-23,model,3,5,0.0,kg/s,2.947222222222222e-5,true
R2-fixed-flow,model,3,5,0.0,kg/s,2.947222222222222e-5,true
3-27,model,3,5,0.0,kg/s,2.947222222222222e-5,true
3-30,model,3,5,0.0,kg/s,2.947222222222222e-5,true
3-32,model,3,5,0.0,1,1.0e-6,true
3-28,model,3,5,0.0,1,1.0e-6,true
3-29:32,model,3,5,0.0,1,1.0e-6,true
3-31,model,3,5,0.0,1,1.0e-6,true
3-29:32,model,3,5,0.0,1,1.0e-6,true
