method,side,edge,from,to,t,on,action,initial
equipment-fixed-central-socp,electric,16,13,14,18,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,19,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,20,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,21,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,22,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,23,1.0,0.0,1
equipment-fixed-central-socp,electric,16,13,14,24,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,1,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,2,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,3,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,4,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,5,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,6,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,7,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,8,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,9,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,10,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,11,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,12,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,13,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,14,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,15,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,16,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,17,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,18,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,19,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,20,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,21,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,22,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,23,1.0,0.0,1
equipment-fixed-central-socp,electric,17,14,15,24,1.0,0.0,1
