stage,name,equation,scope,entity,t,residual,unit,tolerance,pass
2,diagnostic,3-41,model,1,4,0.0,K,0.0001,true
2,diagnostic,3-23-kappa,model,1,4,0.0,kPa,0.001,true
2,diagnostic,3-22,model,S1,4,0.0,normalized,1.0e-6,true
2,diagnostic,3-26,model,S1,4,0.0,normalized,1.0e-6,true
2,diagnostic,3-25,physics,S1,4,0.0953789172120176,normalized,1.0e-6,false
2,diagnostic,WMM-replay,physics,S1,4,9.663381206337363e-13,K,0.0001,true
2,diagnostic,3-33:34,relaxed,S1,4,9.663381206337363e-13,K,0.0001,true
2,diagnostic,3-39:40,model,R1,1,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,1,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,1,0.0,K,0.0001,true
2,diagnostic,3-23-kappa,model,1,1,0.0,kPa,0.001,true
2,diagnostic,3-22,model,R1,1,0.0,normalized,1.0e-6,true
2,diagnostic,3-26,model,R1,1,0.0,normalized,1.0e-6,true
2,diagnostic,3-25,physics,R1,1,0.09538746213739309,normalized,1.0e-6,false
2,diagnostic,WMM-replay,physics,R1,1,1.0800249583553523e-12,K,0.0001,true
2,diagnostic,3-33:34,relaxed,R1,1,1.0800249583553523e-12,K,0.0001,true
2,diagnostic,3-39:40,model,R1,2,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,2,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,2,0.0,K,0.0001,true
2,diagnostic,3-23-kappa,model,1,2,0.0,kPa,0.001,true
2,diagnostic,3-22,model,R1,2,0.0,normalized,1.0e-6,true
2,diagnostic,3-26,model,R1,2,0.0,normalized,1.0e-6,true
2,diagnostic,3-25,physics,R1,2,0.09538746213739309,normalized,1.0e-6,false
2,diagnostic,WMM-replay,physics,R1,2,8.526512829121202e-13,K,0.0001,true
2,diagnostic,3-33:34,relaxed,R1,2,8.526512829121202e-13,K,0.0001,true
2,diagnostic,3-39:40,model,R1,3,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,3,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,3,0.0,K,0.0001,true
2,diagnostic,3-23-kappa,model,1,3,0.0,kPa,0.001,true
2,diagnostic,3-22,model,R1,3,0.0,normalized,1.0e-6,true
2,diagnostic,3-26,model,R1,3,0.0,normalized,1.0e-6,true
2,diagnostic,3-25,physics,R1,3,0.09538746213739309,normalized,1.0e-6,false
2,diagnostic,WMM-replay,physics,R1,3,8.526512829121202e-13,K,0.0001,true
2,diagnostic,3-33:34,relaxed,R1,3,8.526512829121202e-13,K,0.0001,true
2,diagnostic,3-39:40,model,R1,4,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,4,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,4,0.0,K,0.0001,true
2,diagnostic,3-23-kappa,model,1,4,0.0,kPa,0.001,true
2,diagnostic,3-22,model,R1,4,0.0,normalized,1.0e-6,true
2,diagnostic,3-26,model,R1,4,0.0,normalized,1.0e-6,true
2,diagnostic,3-25,physics,R1,4,0.09538746213739309,normalized,1.0e-6,false
2,diagnostic,WMM-replay,physics,R1,4,9.094947017729282e-13,K,0.0001,true
2,diagnostic,3-33:34,relaxed,R1,4,9.094947017729282e-13,K,0.0001,true
2,diagnostic,3-1,model,0,0,0.0,currency,0.00017603175584319817,true
2,diagnostic,R3-cost-field,model,0,0,0.0,currency,0.00017603175584319817,true
2,diagnostic,R3-mass-replay,physics,S1,1,1.7053025658242404e-13,K,0.0001,true
2,diagnostic,R3-star-bounds,model,S1,1,0.0,K,0.0001,true
2,diagnostic,R3-mass-replay,physics,R1,1,1.0800249583553523e-12,K,0.0001,true
2,diagnostic,R3-star-bounds,model,R1,1,0.0,K,0.0001,true
2,diagnostic,R3-mass-replay,physics,S1,2,9.663381206337363e-13,K,0.0001,true
2,diagnostic,R3-star-bounds,model,S1,2,0.0,K,0.0001,true
2,diagnostic,R3-mass-replay,physics,R1,2,8.526512829121202e-13,K,0.0001,true
2,diagnostic,R3-star-bounds,model,R1,2,0.0,K,0.0001,true
2,diagnostic,R3-mass-replay,physics,S1,3,1.0231815394945443e-12,K,0.0001,true
2,diagnostic,R3-star-bounds,model,S1,3,0.0,K,0.0001,true
2,diagnostic,R3-mass-replay,physics,R1,3,8.526512829121202e-13,K,0.0001,true
2,diagnostic,R3-star-bounds,model,R1,3,0.0,K,0.0001,true
2,diagnostic,R3-mass-replay,physics,S1,4,9.663381206337363e-13,K,0.0001,true
2,diagnostic,R3-star-bounds,model,S1,4,0.0,K,0.0001,true
2,diagnostic,R3-mass-replay,physics,R1,4,9.094947017729282e-13,K,0.0001,true
2,diagnostic,R3-star-bounds,model,R1,4,0.0,K,0.0001,true
2,diagnostic,R3-slack-bound,model,1,1,4.799391010405353e-13,1,1.0e-8,true
2,diagnostic,R3-elastic-3-17,model,1,1,4.556394750604068e-18,MW,3.0e-6,true
2,diagnostic,R3-slack-bound,model,2,2,4.858523014782199e-13,1,1.0e-8,true
2,diagnostic,R3-elastic-3-17,model,1,2,7.391804267258638e-19,MW,3.0e-6,true
2,diagnostic,R3-slack-bound,model,3,3,4.911950356914577e-13,1,1.0e-8,true
2,diagnostic,R3-elastic-3-17,model,1,3,9.730087352224113e-18,MW,3.0e-6,true
2,diagnostic,R3-slack-bound,model,4,4,4.698069920928263e-13,1,1.0e-8,true
2,diagnostic,R3-elastic-3-17,model,1,4,1.570991766237048e-17,MW,3.0e-6,true
2,diagnostic,R3-slack-bound,model,5,1,4.689184885657166e-13,1,1.0e-8,true
2,diagnostic,R3-elastic-3-17,model,2,1,4.163336342344337e-17,MW,3.0e-6,true
2,diagnostic,R3-slack-bound,model,6,2,4.43943196911496e-13,1,1.0e-8,true
2,diagnostic,R3-elastic-3-17,model,2,2,1.3877787807814457e-17,MW,3.0e-6,true
2,diagnostic,R3-slack-bound,model,7,3,4.2583377239540583e-13,1,1.0e-8,true
2,diagnostic,R3-elastic-3-17,model,2,3,4.163336342344337e-17,MW,3.0e-6,true
2,diagnostic,R3-slack-bound,model,8,4,4.4394560824103553e-13,1,1.0e-8,true
2,diagnostic,R3-elastic-3-17,model,2,4,6.245004513516506e-17,MW,3.0e-6,true
2,diagnostic,R3-slack-bound,model,9,1,0.0,1,1.0e-8,true
2,diagnostic,R3-elastic-3-35,model,S1,1,2.0840353557689618e-14,K,0.0001,true
2,diagnostic,R3-slack-bound,model,10,2,0.0,1,1.0e-8,true
2,diagnostic,R3-elastic-3-35,model,S1,2,1.9173246154315422e-14,K,0.0001,true
2,diagnostic,R3-slack-bound,model,11,3,0.0,1,1.0e-8,true
2,diagnostic,R3-elastic-3-35,model,S1,3,2.134048423443833e-14,K,0.0001,true
2,diagnostic,R3-slack-bound,model,12,4,0.0,1,1.0e-8,true
