record,run_id,scenario,quantity,index,time_h,value,unit
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","τ_R","2","1.0","323.10238095238094","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","τ_R","2","1.0","323.10238095238094","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","τ_R","2","2.0","323.15","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","τ_R","2","2.0","323.15","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","τ_R","2","3.0","323.15","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","τ_R","2","3.0","315.9119047619047","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","τ_R","2","4.0","323.1023809523809","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","τ_R","2","4.0","323.1023809523809","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","E_BES","2","0.0","0.2","MWh"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","E_BES","2","0.0","0.15","MWh"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","E_BES","2","1.0","0.8","MWh"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","E_BES","2","1.0","0.8","MWh"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","E_BES","2","2.0","0.8","MWh"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","E_BES","2","2.0","0.8","MWh"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","E_BES","2","3.0","0.39899999999999824","MWh"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","E_BES","2","3.0","0.39899999999999824","MWh"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","E_BES","2","4.0","0.2","MWh"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","E_BES","2","4.0","0.15","MWh"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","τ_S","1","1.0","342.19761904761907","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","τ_S","1","1.0","342.19761904761907","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","τ_S","1","2.0","342.19761904761907","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","τ_S","1","2.0","342.19761904761907","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","τ_S","1","3.0","342.15","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","τ_S","1","3.0","342.15","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","τ_S","1","4.0","342.15","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","τ_S","1","4.0","342.15","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","τ_S","2","1.0","342.15","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","τ_S","2","1.0","342.15","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","τ_S","2","2.0","342.19761904761907","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","τ_S","2","2.0","342.19761904761907","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","τ_S","2","3.0","342.19761904761907","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","τ_S","2","3.0","342.19761904761907","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","τ_S","2","4.0","342.15","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","τ_S","2","4.0","342.15","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","τ_R","1","1.0","323.10238095238094","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","τ_R","1","1.0","323.10238095238094","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","τ_R","1","2.0","323.10238095238094","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","τ_R","1","2.0","323.10238095238094","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","τ_R","1","3.0","323.15","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","τ_R","1","3.0","323.15","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","τ_R","1","4.0","323.15","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","τ_R","1","4.0","323.15","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","τ_R","2","1.0","323.10238095238094","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","τ_R","2","1.0","323.10238095238094","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","τ_R","2","2.0","323.15","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","τ_R","2","2.0","323.15","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","τ_R","2","3.0","323.15","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","τ_R","2","3.0","323.15","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","1","τ_R","2","4.0","323.10238095238094","K"
"reserve_heat_limit_finite_fault_ccg_gurobi_n4","r7-linked-ada260f8-0504-4248-966a-24cce4097f04","2","τ_R","2","4.0","323.10238095238094","K"
"healthy_diagnostic_extensive_highs_n4","r7-linked-f7e7690c-5318-4af2-99db-495272636ce0","1","E_BES","2","0.0","0.2","MWh"
"healthy_diagnostic_extensive_highs_n4","r7-linked-f7e7690c-5318-4af2-99db-495272636ce0","2","E_BES","2","0.0","0.15","MWh"
"healthy_diagnostic_extensive_highs_n4","r7-linked-f7e7690c-5318-4af2-99db-495272636ce0","1","E_BES","2","1.0","0.1999999999999993","MWh"
"healthy_diagnostic_extensive_highs_n4","r7-linked-f7e7690c-5318-4af2-99db-495272636ce0","2","E_BES","2","1.0","0.1689999999999996","MWh"
"healthy_diagnostic_extensive_highs_n4","r7-linked-f7e7690c-5318-4af2-99db-495272636ce0","1","E_BES","2","2.0","0.1999999999999993","MWh"
"healthy_diagnostic_extensive_highs_n4","r7-linked-f7e7690c-5318-4af2-99db-495272636ce0","2","E_BES","2","2.0","0.15000000000000036","MWh"
